trait,in_classic,in_impossible,in_turbo,waves_classic,waves_impossible,map_definition,derived_evidence,evidence_basis,always_co_occurs_with,notes
Accelerate,yes,yes,yes,11,11,,armour mostly medium (2/2); speed 0.89x median,classic waves 11,Implode,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
Air,yes,yes,yes,4 9 14 19 24 29 34 39,4 9 14 19 24 29 34 39,,14/16 units fly; armour mostly small (15/16); ability Assk x2; ability A013 (zz Immolation Graphics) x1,classic waves 4 9 14 19 24 29 34 39,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Area Heal Boss,yes,,yes,20,,,armour mostly hero (2/2),classic waves 20,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Attackers,yes,yes,yes,23 32 38,11 18 23 28 32 38,,armour mostly fort (5/7); speed 1.11x median; ability ACrn x1; ability ACmf x1,classic waves 23 32 38,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Bad Seed,yes,yes,yes,36,36,,armour mostly medium (3/3); speed 1.27x median; HP 3.4x all-wave median; ability A02V x1; ability A013 (zz Immolation Graphics) x1,classic waves 36,"Damage Reduction, Flame","the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
Beyond Oversoul,,yes,,,33 39,,2/4 units fly; armour mostly fort (3/4); speed 1.37x median; gold bounty 2.39x neighbouring waves; HP 6.3x all-wave median; ability Assk x2; ability Aap4 x1,impossible waves 33 39,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Big Bad Voodoo Boss,,yes,,,35,,armour mostly hero (2/2); speed 0.91x median; HP 2.9x all-wave median,impossible waves 35,Regeneration,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
Blink,yes,yes,yes,37,37,,armour mostly large (2/2); speed 1.23x median; HP 4.0x all-wave median; ability ACrk x1,classic waves 37,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Blood Bound,,yes,,,30,,armour mostly hero (2/2); speed 0.92x median; HP 1.6x all-wave median,impossible waves 30,Stun Boss,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
Bonus,yes,yes,yes,14 24,14 24,,2/4 units fly; armour mostly small (4/4); gold bounty 1.88x neighbouring waves,classic waves 14 24,"Air, Mechanical, Shedder","the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
